player_id,firstname,lastname,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
190,Taj,Gibson,274.0,17.0,43.0,93.0,157.0,250.0,37.0,153.0,25.0,27.0,43.0,196.0,105.0,57.0,47.0,0.5357142857142857,0.8245614035087719,0.3953488372093023
195,Aaron,Gordon,1232.0,94.0,287.0,145.0,347.0,492.0,211.0,168.0,47.0,142.0,51.0,920.0,469.0,271.0,200.0,0.5097826086956522,0.7380073800738007,0.32752613240418116
196,Eric,Gordon,771.0,126.0,304.0,15.0,99.0,114.0,156.0,64.0,29.0,107.0,18.0,567.0,270.0,135.0,105.0,0.47619047619047616,0.7777777777777778,0.4144736842105263
200,Jerami,Grant,978.0,97.0,272.0,29.0,177.0,206.0,122.0,112.0,45.0,94.0,52.0,751.0,321.0,286.0,239.0,0.4274300932090546,0.8356643356643356,0.35661764705882354
203,Danny,Green,488.0,139.0,362.0,45.0,158.0,203.0,76.0,129.0,73.0,58.0,41.0,427.0,169.0,15.0,11.0,0.3957845433255269,0.7333333333333333,0.3839779005524862
204,Draymond,Green,549.0,27.0,101.0,74.0,438.0,512.0,473.0,231.0,92.0,208.0,74.0,423.0,214.0,144.0,94.0,0.5059101654846335,0.6527777777777778,0.26732673267326734
206,JaMychal,Green,476.0,36.0,142.0,89.0,222.0,311.0,65.0,179.0,45.0,64.0,28.0,364.0,173.0,106.0,94.0,0.47527472527472525,0.8867924528301887,0.2535211267605634
207,Jeff,Green,823.0,60.0,185.0,50.0,205.0,255.0,101.0,165.0,33.0,80.0,32.0,566.0,293.0,214.0,177.0,0.5176678445229682,0.8271028037383178,0.32432432432432434
208,Blake,Griffin,378.0,42.0,157.0,63.0,176.0,239.0,115.0,104.0,29.0,35.0,16.0,328.0,139.0,80.0,58.0,0.42378048780487804,0.725,0.267515923566879
215,Tim,Hardaway Jr.,631.0,109.0,320.0,15.0,151.0,166.0,100.0,75.0,38.0,34.0,8.0,557.0,220.0,108.0,82.0,0.39497307001795334,0.7592592592592593,0.340625
216,James,Harden,1690.0,181.0,540.0,67.0,512.0,579.0,792.0,188.0,93.0,347.0,44.0,1180.0,484.0,618.0,541.0,0.4101694915254237,0.8754045307443366,0.3351851851851852
218,Montrezl,Harrell,996.0,4.0,18.0,161.0,299.0,460.0,151.0,143.0,32.0,76.0,51.0,591.0,376.0,330.0,240.0,0.6362098138747885,0.7272727272727273,0.2222222222222222
220,Gary,Harris,705.0,118.0,312.0,36.0,91.0,127.0,113.0,114.0,61.0,62.0,12.0,581.0,252.0,95.0,83.0,0.43373493975903615,0.8736842105263158,0.3782051282051282
222,Tobias,Harris,1474.0,124.0,334.0,88.0,503.0,591.0,291.0,199.0,61.0,135.0,53.0,1193.0,579.0,227.0,192.0,0.4853310980720872,0.8458149779735683,0.3712574850299401
227,Gordon,Hayward,785.0,87.0,222.0,40.0,187.0,227.0,179.0,87.0,47.0,83.0,22.0,624.0,286.0,150.0,126.0,0.4583333333333333,0.84,0.3918918918918919
237,George,Hill,354.0,42.0,144.0,41.0,129.0,170.0,127.0,82.0,44.0,47.0,6.0,295.0,124.0,71.0,64.0,0.42033898305084744,0.9014084507042254,0.2916666666666667
242,Jrue,Holiday,1491.0,160.0,407.0,83.0,299.0,382.0,552.0,163.0,133.0,221.0,37.0,1217.0,583.0,213.0,165.0,0.4790468364831553,0.7746478873239436,0.3931203931203931
