player_id,firstname,lastname,points,minutes,fgm,fga,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fgp,ftp
153,Kevin,Durant,1833.0,2346.75,641.0,1257.0,421.0,464.0,130.0,337.0,2536.6,33.0,422.0,455.0,392.0,131.0,55.0,218.0,57.0,0.5099443118536198,0.9073275862068966
157,Wayne,Ellington,309.0,895.05,104.0,258.0,15.0,18.0,86.0,227.0,1889.9,10.0,80.0,90.0,34.0,49.0,24.0,19.0,6.0,0.40310077519379844,0.8333333333333334
169,Derrick,Favors,216.0,666.9833333333333,99.0,189.0,16.0,25.0,2.0,17.0,200.0,59.0,130.0,189.0,25.0,64.0,17.0,11.0,12.0,0.5238095238095238,0.64
175,Dorian,Finney-Smith,1107.0,3390.7666666666664,405.0,867.0,77.0,112.0,220.0,551.0,3855.4,161.0,328.0,489.0,191.0,240.0,107.0,103.0,49.0,0.4671280276816609,0.6875
176,Bryn,Forbes,747.0,1458.9666666666667,261.0,606.0,86.0,96.0,139.0,333.0,3003.5,12.0,91.0,103.0,87.0,107.0,27.0,62.0,5.0,0.4306930693069307,0.8958333333333334
186,Rudy,Gay,446.0,1038.15,157.0,379.0,62.0,79.0,70.0,203.0,1826.5,55.0,187.0,242.0,56.0,95.0,25.0,47.0,19.0,0.41424802110817943,0.7848101265822784
189,Paul,George,803.0,1152.0333333333333,284.0,678.0,136.0,160.0,99.0,279.0,1174.4,12.0,215.0,227.0,187.0,80.0,71.0,132.0,13.0,0.41887905604719766,0.85
190,Taj,Gibson,274.0,1033.5333333333333,105.0,196.0,47.0,57.0,17.0,43.0,978.4,93.0,157.0,250.0,37.0,153.0,25.0,27.0,43.0,0.5357142857142857,0.8245614035087719
195,Aaron,Gordon,1232.0,2630.5666666666666,469.0,920.0,200.0,271.0,94.0,287.0,2749.5,145.0,347.0,492.0,211.0,168.0,47.0,142.0,51.0,0.5097826086956522,0.7380073800738007
196,Eric,Gordon,771.0,1690.0666666666666,270.0,567.0,105.0,135.0,126.0,304.0,2399.6,15.0,99.0,114.0,156.0,64.0,29.0,107.0,18.0,0.47619047619047616,0.7777777777777778
200,Jerami,Grant,978.0,1613.4666666666667,321.0,751.0,239.0,286.0,97.0,272.0,1760.3,29.0,177.0,206.0,122.0,112.0,45.0,94.0,52.0,0.4274300932090546,0.8356643356643356
203,Danny,Green,488.0,1719.2833333333333,169.0,427.0,11.0,15.0,139.0,362.0,2904.9,45.0,158.0,203.0,76.0,129.0,73.0,58.0,41.0,0.3957845433255269,0.7333333333333333
204,Draymond,Green,549.0,2109.266666666667,214.0,423.0,94.0,144.0,27.0,101.0,1473.2,74.0,438.0,512.0,473.0,231.0,92.0,208.0,74.0,0.5059101654846335,0.6527777777777778
206,JaMychal,Green,476.0,1202.6,173.0,364.0,94.0,106.0,36.0,142.0,1481.5,89.0,222.0,311.0,65.0,179.0,45.0,64.0,28.0,0.47527472527472525,0.8867924528301887
207,Jeff,Green,823.0,2023.7166666666667,293.0,566.0,177.0,214.0,60.0,185.0,1877.8,50.0,205.0,255.0,101.0,165.0,33.0,80.0,32.0,0.5176678445229682,0.8271028037383178
