id,firstname,lastname,college,affiliation,date,country,start,pro,pounds,jersey,active,pos,height(in)
691,Julyan,Stone,Texas-El Paso,Texas-ElUSAPaso/USA,1988-12-07,USA,2011,4,200,32,True,G,78
697,DJ,Stephens,Memphis, USA/USA,1990-12-19,USA,2013,1,188,20,True,G-F,77
712,Travis,Wear,UCLA,UCLA/USA,1990-09-21,USA,2014,2,219,21,True,F,81
720,Jordan,Crawford,Xavier,XavierUSA(Ohio)/USA,1988-10-23,USA,2010,6,195,27,True,G,77
721,Manny,Harris,Michigan,Michigan/USA,1989-09-21,USA,2010,3,185,6,False,G,77
722,Elijah,Millsap,Alabama-Birmingham,Alabama-Birmingham/USA,1987-08-12,USA,2014,2,215,22,False,G-F,79
723,David,Nwaba,Cal Poly,Cal Poly/USA,1993-01-14,USA,2016,5,219,11,True,G-F,77
724,Bam,Adebayo,Kentucky,Kentucky/USA,1997-07-18,USA,2017,4,255,13,True,C-F,81
727,Jarrett,Allen,Texas,Texas/USA,1998-04-21,USA,2017,4,243,31,True,C,82
735,Lonzo,Ball,UCLA,UCLA/USA,1997-10-27,USA,2017,4,190,2,True,G,78
738,Jordan,Bell,Oregon,Oregon/USA,1995-01-07,USA,2017,4,216,20,True,F,79
741,Antonio,Blakeney,Louisiana State,Louisiana State/USA,1996-10-04,USA,2017,2,192,9,True,G,76
748,Tony,Bradley,North Carolina,North Carolina/USA,1998-01-08,USA,2017,4,248,13,True,C-F,82
753,Thomas,Bryant,Indiana,Indiana/USA,1997-07-31,USA,2017,4,248,13,True,C-F,82
755,Dwight,Buycks,Marquette,Marquette/USA,1989-03-06,USA,2013,3,190,20,True,G,75
758,Tyler,Cavanaugh,George Washington,George Washington/USA,1994-02-09,USA,2017,2,238,34,True,F,81
760,Antonius,Cleveland,S.E. Missouri,Southeast Missouri/USA,1994-02-02,USA,2017,2,195,3,True,G,77
761,John,Collins,Wake Forest,Wake Forest/USA,1997-09-23,USA,2017,4,226,20,True,F-C,81
762,Zach,Collins,Gonzaga,Gonzaga/USA,1997-11-19,USA,2017,3,250,23,True,F-C,83
763,Charles,Cooke,Dayton,Dayton/USA,1994-07-01,USA,2017,1,196,4,True,G,77
764,Jack,Cooley,Notre Dame,Notre Dame/USA,1991-04-12,USA,2014,2,274,45,True,C-F,82
771,Larry,Drew II,UCLA,UCLA/USA,1990-03-05,USA,2014,2,180,1,True,G,74
776,De'Aaron,Fox,Kentucky,Kentucky/USA,1997-12-20,USA,2017,4,185,5,True,G,75
779,Markelle,Fultz,Washington,Washington/USA,1998-05-29,USA,2017,4,209,20,True,G,76
791,Josh,Hart,Villanova,Villanova/USA,1995-03-06,USA,2017,4,215,11,True,G,77
792,Nigel,Hayes,Wisconsin,Wisconsin/USA,1994-12-16,USA,2017,1,254,40,True,F,79
795,Isaiah,Hicks,North Carolina,North Carolina/USA,1994-07-24,USA,2017,2,230,4,True,F,81
800,Andre,Ingram,American,American/USA,1985-11-19,USA,2017,1,190,20,True,G,75
801,Jonathan,Isaac,Florida State,Florida State/USA,1997-10-03,USA,2017,3,230,1,True,F,82
805,Josh,Jackson,Kansas,Kansas/USA,1997-02-10,USA,2017,4,207,55,True,G-F,80
810,Dakari,Johnson,Kentucky,Kentucky/USA,1995-09-22,USA,2017,1,255,44,True,C,84
814,Luke,Kennard,Duke,Duke/USA,1996-06-24,USA,2017,4,206,5,True,G,77
819,Luke,Kornet,Vanderbilt,Vanderbilt/USA,1995-07-15,USA,2017,4,250,40,True,C-F,86
820,Kyle,Kuzma,Utah,Utah/USA,1995-07-24,USA,2017,4,221,33,True,F,81
821,T.J.,Leaf,UCLA,UCLA/USA,1997-04-30,USA,2017,4,222,18,True,F,82
834,Erik,McCree,Louisiana Tech,Louisiana Tech/USA,1993-12-20,USA,2017,1,225,21,True,F,80
837,Malcolm,Miller,Holy Cross,Holy Cross/USA,1993-03-06,USA,2017,3,210,13,True,G-F,79
840,Donovan,Mitchell,Louisville,Louisville/USA,1996-09-07,USA,2017,4,215,45,True,G,73
844,Jaylen,Morris,Molloy,Molloy/USA,1995-09-19,USA,2017,2,185,30,True,G,77
845,Monte,Morris,Iowa State,Iowa State/USA,1995-06-27,USA,2017,4,183,22,True,G,74
857,Alec,Peters,Valparaiso,Valparaiso/USA,1995-04-13,USA,2017,1,235,25,True,F,81
862,Rodney,Purvis,Connecticut,Connecticut/USA,1994-02-14,USA,2017,1,205,15,True,G,76
865,Davon,Reed,Miami,Miami/USA,1995-06-11,USA,2017,2,206,9,True,G,77
881,Caleb,Swanigan,Purdue,Purdue/USA,1997-04-18,USA,2017,3,260,50,True,F,81
