,,,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
player_id,firstname,lastname,,,,,,,,,,,,,,,,,,
86,Jimmy,Butler,0.7128540305010893,0.12469437652811736,0.1784351145038168,0.46308724832214765,0.4939550949913644,0.5367088607594938,0.4698646986469865,0.3,0.8972602739726028,0.40117994100294985,0.1784037558685446,0.6584362139917695,0.6707768187422934,0.9385826771653543,0.9244604316546764,0.3723015261973265,0.7748253968253966,0.5454545454545454
89,Kentavious,Caldwell-Pope,0.4174291938997821,0.4058679706601467,0.4017175572519084,0.1308724832214765,0.32642487046632124,0.28860759493670884,0.16974169741697417,0.390625,0.5821917808219177,0.2743362831858407,0.13615023474178403,0.46149323927101704,0.41553637484586925,0.24094488188976376,0.24280575539568344,0.2499740859010583,0.8111010009099182,0.7885985748218527
114,Mike,Conley,0.4309368191721133,0.4449877750611247,0.43225190839694655,0.15436241610738255,0.2659758203799654,0.25316455696202533,0.4993849938499385,0.446875,0.6986301369863013,0.3775811209439528,0.107981220657277,0.4767783656672545,0.4217016029593095,0.27874015748031494,0.2517985611510791,0.23262950623972067,0.6631938963430675,0.8035320088300221
115,Pat,Connaughton,0.3089324618736383,0.43765281173594134,0.4360687022900763,0.15436241610738255,0.4265975820379965,0.37088607594936707,0.1094710947109471,0.2625,0.4246575342465753,0.09439528023598821,0.0892018779342723,0.32510288065843623,0.3070283600493219,0.09133858267716535,0.0881294964028777,0.3016042331389056,0.7608294930875577,0.7833698030634574
117,DeMarcus,Cousins,0.17342047930283225,0.10024449877750612,0.12213740458015267,0.24496644295302014,0.2970639032815198,0.310126582278481,0.07872078720787208,0.40625,0.2465753424657534,0.23893805309734512,0.10328638497652583,0.17225161669606115,0.16769420468557336,0.2141732283464567,0.18345323741007194,0.34325891710941037,0.5998639455782313,0.640625
118,Robert,Covington,0.24618736383442263,0.33251833740831294,0.34351145038167935,0.20134228187919462,0.544041450777202,0.4746835443037975,0.0996309963099631,0.5750000000000001,0.7328767123287672,0.1976401179941003,0.4460093896713615,0.27630805408583187,0.2342786683107275,0.12283464566929134,0.11870503597122302,0.20760827219677436,0.7588850174216026,0.7555555555555555
121,Jae,Crowder,0.3015250544662309,0.37163814180929094,0.424618320610687,0.11744966442953021,0.6113989637305699,0.49240506329113926,0.1795817958179582,0.64375,0.7397260273972601,0.1976401179941003,0.17370892018779344,0.35978835978835977,0.2897657213316893,0.1779527559055118,0.1564748201438849,0.15637856289005492,0.6338624338624339,0.6831460674157304
123,Seth,Curry,0.4222222222222222,0.43276283618581907,0.39503816793893126,0.06711409395973154,0.26770293609671847,0.22151898734177217,0.2853628536285363,0.49375,0.39041095890410954,0.30973451327433627,0.08450704225352113,0.4391534391534392,0.44636251541307026,0.15748031496062992,0.1528776978417266,0.3725212476033576,0.7623626373626373,0.855072463768116
124,Stephen,Curry,1.0,1.0,1.0,0.14093959731543623,0.6718480138169256,0.5455696202531646,0.6543665436654367,0.546875,0.8424657534246576,0.7935103244837758,0.15492957746478875,1.0,0.9321824907521579,0.6913385826771654,0.7032374100719425,0.2756207727599401,0.821476942921638,0.7805343511450382
126,Anthony,Davis,0.3908496732026144,0.03667481662591687,0.07347328244274809,0.3523489932885906,0.46286701208981,0.47215189873417723,0.14268142681426815,0.259375,0.3835616438356164,0.21533923303834807,0.4460093896713615,0.4009406231628454,0.4352651048088779,0.4346456692913386,0.3471223021582734,0.44537180186423797,0.5115986394557823,0.38961038961038963
131,Dewayne,Dedmon,0.17429193899782136,0.0488997555012225,0.05629770992366412,0.38926174496644295,0.48186528497409326,0.5000000000000001,0.04920049200492005,0.628125,0.1643835616438356,0.21238938053097345,0.22065727699530516,0.1657848324514991,0.19112207151664612,0.184251968503937,0.1564748201438849,0.5117451583751816,0.5914994096812278,0.6779661016949152
136,DeMar,DeRozan,0.9647058823529413,0.1295843520782396,0.15267175572519084,0.1879194630872483,0.5906735751295336,0.5037974683544304,0.4920049200492005,0.5593750000000001,0.5205479452054793,0.56047197640118,0.13145539906103287,0.9635508524397414,1.0,1.0,1.0,0.3914144492733175,0.7963037484164244,0.6625
